,titles,prices
0,Xiaomi Redmi 10 4/64GB Carbon Gray 90Hz,"699,00 zł"
1,Xiaomi Redmi Note 11S 6/64GB Graphite Gray,"1 149,00 zł"
2,Apple iPhone 11 128GB White,"2 739,00 zł"
3,Samsung Galaxy M23 5G 4/128GB Green 120Hz,"1 299,00 zł"
4,realme 10 8+128 Rush Black,"1 299,00 zł"
5,realme 9 Pro+ 6+128GB Midnight Black OIS 60W ,"1 599,00 zł"
6,ASUS ZenFone 8 8/128GB Black,"1 999,00 zł"
7,Apple iPhone 13 128GB Midnight,"4 299,00 zł"
8,Apple iPhone 11 128GB Black,"2 739,00 zł"
9,Xiaomi Redmi Note 11 4/128GB Graphite Gray,"949,00 zł"
10,Apple iPhone 13 128GB Starlight,"4 299,00 zł"
11,Samsung Galaxy S20 FE 5G Fan Edition Niebieski,"2 499,00 zł"
12,Xiaomi Redmi Note 10 Pro 6/64GB Nebula Purple 120Hz,"1 199,00 zł"
13,Xiaomi Redmi Note 10 Pro 6/128GB Onyx Gray 120Hz,"1 299,00 zł"
14,Samsung Galaxy M13 4/64GB Green,"869,00 zł"
15,Xiaomi Redmi 9A 2/32GB Glacial Blue,"479,00 zł"
16,realme 10 8+128 Clash White,"1 099,00 zł"
17,Apple iPhone 11 64GB White,"2 399,00 zł"
18,Xiaomi Redmi Note 11 4/64GB Graphite Gray,"899,00 zł"
19,Xiaomi 11T 8/128GB Meteorite Gray,"1 699,00 zł"
20,Samsung Galaxy A53 5G 6/128GB 120Hz Black,"1 749,00 zł"
21,Xiaomi POCO M4 Pro 8/256GB Cool Blue,"1 199,00 zł"
22,Apple iPhone 11 64GB Black,"2 399,00 zł"
23,Samsung Galaxy A13 4/64GB Black,"849,00 zł"
24,Xiaomi Redmi 9A 2/32GB Green,"479,00 zł"
25,Xiaomi POCO X4 Pro 5G 8/256GB Laser blue,"1 699,00 zł"
26,Xiaomi Redmi 10C 4/128GB Ocean Blue,"749,00 zł"
27,Xiaomi Redmi 9C NFC 3/64GB Midnight  Grey,"599,00 zł"
28,Xiaomi Redmi Note 11 4/64GB Twilight Blue ,"899,00 zł"
29,Xiaomi Redmi Note 11S 6/64GB Twilight Blue ,"1 149,00 zł"
30,Xiaomi Redmi 10 4/64GB Carbon Gray 90Hz,"699,00 zł"
31,Xiaomi Redmi Note 11S 6/64GB Graphite Gray,"1 149,00 zł"
32,Apple iPhone 11 128GB White,"2 739,00 zł"
33,Samsung Galaxy M23 5G 4/128GB Green 120Hz,"1 299,00 zł"
34,realme 10 8+128 Rush Black,"1 299,00 zł"
35,realme 9 Pro+ 6+128GB Midnight Black OIS 60W ,"1 599,00 zł"
36,ASUS ZenFone 8 8/128GB Black,"1 999,00 zł"
37,Apple iPhone 13 128GB Midnight,"4 299,00 zł"
38,Apple iPhone 11 128GB Black,"2 739,00 zł"
39,Xiaomi Redmi Note 11 4/128GB Graphite Gray,"949,00 zł"
40,Apple iPhone 13 128GB Starlight,"4 299,00 zł"
41,Samsung Galaxy S20 FE 5G Fan Edition Niebieski,"2 499,00 zł"
42,Xiaomi Redmi Note 10 Pro 6/64GB Nebula Purple 120Hz,"1 199,00 zł"
43,Xiaomi Redmi Note 10 Pro 6/128GB Onyx Gray 120Hz,"1 299,00 zł"
44,Samsung Galaxy M13 4/64GB Green,"869,00 zł"
45,Xiaomi Redmi 9A 2/32GB Glacial Blue,"479,00 zł"
46,realme 10 8+128 Clash White,"1 099,00 zł"
47,Apple iPhone 11 64GB White,"2 399,00 zł"
48,Xiaomi Redmi Note 11 4/64GB Graphite Gray,"899,00 zł"
49,Xiaomi 11T 8/128GB Meteorite Gray,"1 699,00 zł"
50,Samsung Galaxy A53 5G 6/128GB 120Hz Black,"1 749,00 zł"
51,Xiaomi POCO M4 Pro 8/256GB Cool Blue,"1 199,00 zł"
52,Apple iPhone 11 64GB Black,"2 399,00 zł"
53,Samsung Galaxy A13 4/64GB Black,"849,00 zł"
54,Xiaomi Redmi 9A 2/32GB Green,"479,00 zł"
55,Xiaomi POCO X4 Pro 5G 8/256GB Laser blue,"1 699,00 zł"
56,Xiaomi Redmi 10C 4/128GB Ocean Blue,"749,00 zł"
57,Xiaomi Redmi 9C NFC 3/64GB Midnight  Grey,"599,00 zł"
58,Xiaomi Redmi Note 11 4/64GB Twilight Blue ,"899,00 zł"
59,Xiaomi Redmi Note 11S 6/64GB Twilight Blue ,"1 149,00 zł"
60,ASUS ZenFone 8 8/128GB Silver,"1 999,00 zł"
61,realme 9 Pro+ 6+128GB Aurora Green OIS 60W,"1 599,00 zł"
62,Samsung Galaxy M13 4/64GB Blue,"869,00 zł"
63,Apple iPhone 13 128GB Pink,"4 299,00 zł"
64,Xiaomi POCO X4 Pro 5G 8/256GB Laser black,"1 699,00 zł"
65,Xiaomi Redmi Note 11 4/64GB Star Blue ,"899,00 zł"
66,Apple iPhone 13 Mini 128GB Midnight,"3 799,00 zł"
67,Motorola moto e22 4/64GB Astro Black,"599,00 zł"
68,Xiaomi Redmi 9A 2/32GB Grey,"479,00 zł"
69,Motorola moto e22 4/64GB Crystal Blue,"599,00 zł"
70,Xiaomi POCO M4 Pro 6/128GB Power Black,"1 099,00 zł"
71,realme narzo 50 4/128 Speed Black,"949,00 zł"
72,Xiaomi POCO M4 Pro 8/256GB Power Black,"1 199,00 zł"
73,Samsung Galaxy A13 4/64GB Blue,"849,00 zł"
74,Xiaomi Redmi Note 11 Pro 6/128GB Graphite Gray,"1 419,00 zł"
75,vivo Y33s 8/128GB Mirror Black NFC ,"999,00 zł"
76,Nothing Phone (1) 12/256GB czarny,"2 349,00 zł"
77,Samsung Galaxy S22 8/128GB Black,"3 699,00 zł"
78,Cat S42 H+ Dual SIM LTE czarny,"999,00 zł"
79,Xiaomi POCO M5 4/128GB Black,"799,00 zł"
80,Nothing Phone (1) 8/256GB czarny,"2 149,00 zł"
81,Xiaomi 11T 8/128GB Celestial Blue,"1 699,00 zł"
82,myPhone Tango LTE,"259,00 zł"
83,Xiaomi Redmi 10C 4/64GB Graphite Gray NFC,"699,00 zł"
84,Samsung Galaxy S22+ 8/256GB Black,"4 799,00 zł"
85,Apple iPhone 13 128GB Blue,"4 299,00 zł"
86,Samsung Galaxy S20 FE 5G Fan Edition 8/256GB Niebieski,"2 699,00 zł"
87,Samsung Galaxy S20 FE 5G Fan Edition 8/256GB Lawendowy,"2 699,00 zł"
88,Xiaomi Redmi 9C NFC 2/32GB Lavender Purple,"479,00 zł"
89,Xiaomi POCO X4 GT 8/256GB Black,"1 949,00 zł"
90,Xiaomi Redmi Note 11 Pro 6/128GB Star Blue,"1 419,00 zł"
91,Samsung Galaxy M23 5G 4/128GB Blue 120Hz,"1 299,00 zł"
92,ASUS ZenFone 9 16/256GB Black,"3 799,00 zł"
93,Xiaomi Redmi 9C NFC 2/32GB Aurora Green,"479,00 zł"
94,Xiaomi Redmi Note 11S 6/64GB Pearl White ,"1 149,00 zł"
95,Xiaomi Redmi 9C NFC 2/32GB Midnight Gray,"479,00 zł"
96,Samsung Galaxy S21 FE 5G Fan Edition Grey,"2 999,00 zł"
97,Apple iPhone 12 128GB Black 5G,"3 999,00 zł"
98,OnePlus Nord 2T 5G 8/128GB  Gray Shadow EU,"1 849,00 zł"
99,Apple iPhone 13 128GB Alpine Green,"4 299,00 zł"
100,Samsung Galaxy S22 8/256GB Black,"3 899,00 zł"
101,Motorola edge 30 neo 8/128GB Black Onyx,"1 499,00 zł"
102,Xiaomi 11T 8/128GB Moonlight White,"1 699,00 zł"
103,Apple iPhone 12 64GB Black 5G,"3 649,00 zł"
104,Apple iPhone 14 128GB Midnight,"4 999,00 zł"
105,Xiaomi 12 8/128GB Grey,"2 799,00 zł"
106,realme 9 Pro+ 8+256GB Aurora Green OIS 60W,"1 699,00 zł"
107,Motorola edge 20 5G 8/128GB Frosted White 144Hz,"1 999,00 zł"
108,Xiaomi Redmi 9C NFC 3/64GB Twilight Blue,"599,00 zł"
109,Motorola moto g22 4/64 GB Cosmic Black,"699,00 zł"
110,Xiaomi 12 8/128GB Blue,"2 799,00 zł"
111,Samsung Galaxy M23 5G 4/128GB Pink 120Hz,"1 299,00 zł"
112,realme 9 Pro 8+128GB Midnight Black 120Hz,"1 399,00 zł"
113,Xiaomi Redmi Note 10 Pro 6/64GB Onyx Gray 120Hz,"1 199,00 zł"
114,Motorola moto g71 5G 6/128GB Iron Black,"1 099,00 zł"
115,ASUS ZenFone 9 8/128GB Black,"3 299,00 zł"
116,Samsung Galaxy M13 4/64GB Orange,"869,00 zł"
117,Apple iPhone 13 Mini 128GB Starlight,"3 799,00 zł"
118,Motorola moto g72 8/128GB Meteorite Grey,"1 299,00 zł"
119,Nokia 2660 4G Czarny + Stacja Ładująca,"369,00 zł"
